ri,errore
0.000588596,0
1.845e-06,0.000586751
0.00370235,0.00371598
0.00161372,0.00335658
-0.000445846,0.00331689
0.00124827,0.00319445
0.000584131,0.00278029
-0.000720526,0.00273855
-0.0012228,0.00246685
-0.00125331,0.00220663
-0.00152185,0.00201395
-0.00107293,0.00189249
-0.000850564,0.00175499
-0.0005727,0.00164839
0.000867999,0.00210488
0.000528946,0.00199791
0.000652327,0.00188076
0.00118845,0.00185248
0.00172602,0.00183287
0.00155955,0.00174677
0.00130285,0.00168122
0.000263273,0.00191056
0.000451687,0.0018353
0.000678735,0.00177178
0.000552417,0.00170412
0.000926791,0.00167952
0.000986114,0.00161721
0.00114738,0.0015667
0.000925588,0.0015279
0.000875785,0.00147693
0.000992034,0.00143321
0.000568831,0.0014508
0.000710213,0.00141324
0.00062439,0.00137373
0.000489713,0.00134068
0.000549995,0.0013043
0.000295271,0.00129388
0.000101222,0.00127424
0.000531719,0.00131367
0.000950872,0.00134727
0.00111648,0.0013244
0.00120654,0.00129561
0.00136799,0.00127538
0.00106391,0.00128263
0.000798216,0.00128164
0.000712468,0.0012564
0.000862311,0.00123848
0.000503762,0.00126431
0.000328464,0.00125058
-0.000175871,0.00132505
-8.57043e-05,0.00130193
-0.000180931,0.0012802
-0.000420341,0.00127843
-0.000431678,0.00125458
-0.000615883,0.00124526
-0.000489981,0.00122928
-0.000494607,0.00120753
-0.000363972,0.0011937
0.000103388,0.00126295
-7.94676e-05,0.00125511
-0.000256196,0.00124695
-3.42188e-05,0.0012466
-0.000121635,0.00122976
-0.000197804,0.00121279
-0.000447566,0.00121983
-0.000481288,0.00120168
-0.000309819,0.00119596
-0.00024876,0.00117982
-0.00031356,0.0011644
-0.000224236,0.00115112
-0.000161667,0.00113652
-0.00014733,0.00112071
-0.00017594,0.00110562
-0.000282406,0.00109576
-0.000144711,0.00108979
-0.000288188,0.00108488
-0.000328483,0.00107146
-0.000213027,0.00106392
-0.000277298,0.00105233
-0.000456078,0.00105436
-0.000259124,0.00105972
-0.00023961,0.0010469
-0.000417339,0.00104937
-0.000453451,0.00103743
-0.000297287,0.00103698
-0.000342744,0.00102586
-0.000244082,0.00101879
-0.000165986,0.00101017
-0.000311066,0.00100924
-0.000474981,0.00101133
-0.000439439,0.00100079
-0.000318601,0.000997197
-0.000423123,0.000991939
-0.000527753,0.000986892
-0.000415325,0.000982899
-0.000559113,0.000983178
-0.000518239,0.000973847
-0.000554831,0.000964553
-0.000478036,0.000957844
-0.000492784,0.000948332
