Call,Err_Call,Put,Err_Put
14.364,0,3.91285,0
14.6931,0.329124,4.29879,0.385944
15.4308,0.761765,4.75857,0.51093
15.6275,0.573435,4.74193,0.361665
15.2669,0.572127,4.84728,0.299295
15.2653,0.467142,4.78883,0.251266
15.5198,0.469735,4.78234,0.212458
15.3446,0.442946,5.07135,0.342609
15.4121,0.396435,5.04278,0.303501
15.4794,0.360905,5.11133,0.279981
15.4625,0.326887,5.12725,0.253752
15.5058,0.301528,4.98372,0.272503
15.5339,0.278787,5.04258,0.257484
15.5237,0.258308,5.08696,0.24248
15.5166,0.240576,5.09143,0.225781
15.4457,0.235936,5.15015,0.21921
15.6166,0.279821,5.14452,0.205989
15.5724,0.267488,5.19387,0.200381
15.5465,0.254346,5.15139,0.194245
15.4897,0.24787,5.24144,0.205104
15.3674,0.265637,5.23844,0.195116
15.5555,0.315481,5.19263,0.191591
15.5451,0.30163,5.19639,0.18311
15.6362,0.302819,5.17939,0.176136
15.5496,0.303093,5.20407,0.170737
15.5213,0.292579,5.21088,0.16418
15.4813,0.284358,5.24051,0.160736
15.472,0.274171,5.2794,0.159697
15.3421,0.294735,5.38212,0.185194
15.3036,0.287332,5.40855,0.180856
15.2856,0.278492,5.42763,0.175962
15.3011,0.270094,5.39657,0.173183
15.331,0.263483,5.35332,0.173336
15.3729,0.259029,5.3871,0.17152
15.3944,0.252436,5.37372,0.167084
15.3803,0.245725,5.3545,0.163511
15.3951,0.239446,5.32453,0.161829
15.2968,0.252928,5.31278,0.15795
15.2442,0.251908,5.3095,0.153882
15.224,0.246364,5.31957,0.150323
15.1669,0.246967,5.34305,0.148479
15.199,0.243151,5.33007,0.145482
15.1434,0.243847,5.33065,0.142059
15.1913,0.242993,5.32647,0.138856
15.1659,0.238879,5.301,0.138103
15.1317,0.236123,5.31717,0.136031
15.1052,0.232558,5.31569,0.133113
15.0745,0.229731,5.3579,0.136976
15.1116,0.228036,5.34213,0.135076
15.1231,0.223726,5.33501,0.132538
15.0649,0.226884,5.34325,0.130174
15.0795,0.222959,5.34478,0.127656
15.0336,0.223482,5.36809,0.127375
15.0825,0.224691,5.35842,0.125368
15.0523,0.222631,5.37478,0.12415
15.0463,0.2187,5.35914,0.122912
15.0723,0.216397,5.35464,0.12082
15.0528,0.213532,5.36097,0.118888
15.0195,0.212506,5.37264,0.117437
15.0043,0.209484,5.37071,0.115479
15.0408,0.209235,5.35105,0.115259
15.0157,0.207367,5.3527,0.113397
14.9659,0.210031,5.36325,0.112081
15.0168,0.212899,5.33004,0.115207
14.9528,0.219145,5.34335,0.1142
14.9741,0.216842,5.35038,0.112675
14.9812,0.213702,5.33433,0.112136
14.9745,0.210643,5.33204,0.110498
14.9708,0.207601,5.34253,0.109388
14.9911,0.205618,5.3428,0.107815
14.9922,0.202705,5.33883,0.10636
14.9404,0.206472,5.35922,0.106836
14.9408,0.203624,5.35196,0.105613
14.9904,0.206883,5.36382,0.104849
14.9572,0.20679,5.36842,0.103544
14.9363,0.205116,5.38182,0.103048
14.9057,0.204739,5.39848,0.103056
14.9112,0.202171,5.40938,0.102308
14.9348,0.20099,5.40967,0.101006
14.9056,0.200602,5.41728,0.100025
14.9012,0.198158,5.41422,0.0988301
14.9525,0.20235,5.40348,0.0982062
14.9657,0.200329,5.40666,0.0970679
14.966,0.19793,5.4029,0.0959792
14.9432,0.196918,5.43186,0.0991676
14.9523,0.194827,5.41813,0.098965
14.9412,0.192895,5.43374,0.099059
14.9019,0.194692,5.45625,0.100479
14.9114,0.192727,5.45453,0.0993588
14.8704,0.194935,5.45659,0.0982702
14.8249,0.198088,5.46565,0.0976059
14.783,0.200344,5.47768,0.0972859
14.799,0.198824,5.4744,0.0962901
14.7991,0.196698,5.48706,0.0960982
14.7621,0.19809,5.48813,0.0950873
14.8013,0.199886,5.48516,0.0941384
14.8281,0.199626,5.4856,0.0931639
14.8406,0.197974,5.48289,0.0922483
14.8415,0.195966,5.47594,0.0915753
14.8743,0.19674,5.47148,0.0907649
