RMS,Errore
0,0
1,1.29048e-09
1.41824,0.0413352
1.73107,0.0576086
1.98957,0.070377
2.22724,0.0801099
2.44606,0.08978
2.64227,0.0994046
2.82549,0.108048
2.9963,0.115334
3.15626,0.122662
3.31771,0.12913
3.47001,0.135569
3.60347,0.140847
3.73898,0.146148
3.87551,0.152001
4.00167,0.157395
4.12153,0.16252
4.25558,0.167881
4.37372,0.173978
4.49767,0.179666
4.61001,0.182989
4.71625,0.187532
4.82056,0.192798
4.9264,0.197633
5.03204,0.201666
5.11336,0.204033
5.20417,0.207967
5.30451,0.21256
5.39422,0.216712
5.48994,0.221366
5.58616,0.226196
5.6713,0.229865
5.75788,0.232957
5.84968,0.236877
5.94641,0.240835
6.03259,0.24351
6.11358,0.246977
6.18904,0.249352
6.28143,0.253178
6.34936,0.25676
6.44408,0.261236
6.51968,0.26501
6.59726,0.26901
6.67618,0.270936
6.74859,0.274672
6.81581,0.277465
6.89535,0.280327
6.95898,0.283015
7.02518,0.286748
7.09868,0.290111
7.18085,0.294074
7.2562,0.29824
7.33335,0.300915
7.40662,0.30361
7.47358,0.306315
7.53658,0.308908
7.59022,0.310533
7.65468,0.313883
7.72929,0.3166
7.79065,0.318739
7.85935,0.322478
7.91497,0.323324
7.98593,0.325079
8.05562,0.328089
8.10251,0.329716
8.16354,0.333145
8.22459,0.335541
8.28948,0.33837
8.34949,0.341282
8.40531,0.343719
8.46167,0.345763
8.52405,0.348403
8.58982,0.351444
8.65413,0.35414
8.70188,0.355853
8.75186,0.357498
8.81044,0.360611
8.8778,0.361907
8.93329,0.364037
8.98766,0.365244
9.04279,0.367257
9.08943,0.368152
9.14037,0.370246
9.18646,0.371769
9.2363,0.372888
9.28811,0.374732
9.33599,0.377617
9.39219,0.380046
9.44734,0.384154
9.50321,0.38638
9.56218,0.389314
9.61186,0.391387
9.66713,0.394038
9.71719,0.396072
9.76985,0.397632
9.82656,0.399916
9.8779,0.402104
9.9207,0.402576
9.96726,0.405038
