0.75 0.6 -0.432745 0.000778804
0.75 0.61 -0.434706 0.000746286
0.75 0.62 -0.436041 0.000762025
0.75 0.63 -0.434808 0.000761436
0.75 0.64 -0.431073 0.000938689
0.75 0.65 -0.429334 0.000964441
0.75 0.66 -0.426799 0.0011185
0.75 0.67 -0.421765 0.00114446
0.75 0.68 -0.415385 0.00117544
0.75 0.69 -0.410637 0.00124621
0.76 0.6 -0.436386 0.000778579
0.76 0.61 -0.437926 0.000754076
0.76 0.62 -0.440413 0.000802658
0.76 0.63 -0.436704 0.000760397
0.76 0.64 -0.434983 0.00090229
0.76 0.65 -0.433563 0.000878469
0.76 0.66 -0.427637 0.00108837
0.76 0.67 -0.423812 0.00110152
0.76 0.68 -0.418641 0.00107813
0.76 0.69 -0.412652 0.00119312
0.77 0.6 -0.439236 0.000774461
0.77 0.61 -0.44089 0.000748372
0.77 0.62 -0.440397 0.000772537
0.77 0.63 -0.441418 0.000782352
0.77 0.64 -0.437727 0.00083152
0.77 0.65 -0.433363 0.00103786
0.77 0.66 -0.430321 0.000981294
0.77 0.67 -0.424162 0.00104598
0.77 0.68 -0.421787 0.00113624
0.77 0.69 -0.413662 0.0014717
0.78 0.6 -0.440747 0.000788782
0.78 0.61 -0.443286 0.000727668
0.78 0.62 -0.441661 0.000779715
0.78 0.63 -0.441518 0.000843518
0.78 0.64 -0.438495 0.00093781
0.78 0.65 -0.434555 0.000868334
0.78 0.66 -0.43134 0.000967492
0.78 0.67 -0.425473 0.00118734
0.78 0.68 -0.419481 0.00114192
0.78 0.69 -0.414628 0.00129818
0.79 0.6 -0.442299 0.000724268
0.79 0.61 -0.443816 0.000692364
0.79 0.62 -0.441907 0.000814228
0.79 0.63 -0.442674 0.000858409
0.79 0.64 -0.441028 0.000974009
0.79 0.65 -0.436765 0.00101012
0.79 0.66 -0.429813 0.00120029
0.79 0.67 -0.427641 0.00133445
0.79 0.68 -0.420006 0.00126448
0.79 0.69 -0.413458 0.00142223
0.8 0.6 -0.442443 0.000786033
0.8 0.61 -0.444909 0.000745039
0.8 0.62 -0.445055 0.00090784
0.8 0.63 -0.444057 0.000770985
0.8 0.64 -0.441106 0.000936785
0.8 0.65 -0.437474 0.00102165
0.8 0.66 -0.430116 0.00105308
0.8 0.67 -0.427584 0.00142137
0.8 0.68 -0.420524 0.00136575
0.8 0.69 -0.413145 0.00147875
0.81 0.6 -0.441354 0.000873331
0.81 0.61 -0.444007 0.000856917
0.81 0.62 -0.443588 0.00085011
0.81 0.63 -0.441902 0.000923088
0.81 0.64 -0.440102 0.000932671
0.81 0.65 -0.436542 0.00109247
0.81 0.66 -0.430158 0.00109556
0.81 0.67 -0.423063 0.00120942
0.81 0.68 -0.417073 0.00130154
0.81 0.69 -0.409779 0.00171681
0.82 0.6 -0.440992 0.000831509
0.82 0.61 -0.442352 0.000857731
0.82 0.62 -0.441723 0.00091796
0.82 0.63 -0.439714 0.000960642
0.82 0.64 -0.438797 0.00104973
0.82 0.65 -0.433628 0.00110817
0.82 0.66 -0.430184 0.00116701
0.82 0.67 -0.424039 0.00111923
0.82 0.68 -0.417152 0.00150905
0.82 0.69 -0.408018 0.00147801
0.83 0.6 -0.437782 0.000957018
0.83 0.61 -0.440526 0.000763236
0.83 0.62 -0.439894 0.000923207
0.83 0.63 -0.439226 0.00084329
0.83 0.64 -0.436893 0.00105039
0.83 0.65 -0.433126 0.00107288
0.83 0.66 -0.42733 0.00141205
0.83 0.67 -0.419341 0.00120202
0.83 0.68 -0.410933 0.00160407
0.83 0.69 -0.403011 0.00155115
0.84 0.6 -0.436061 0.00100426
0.84 0.61 -0.438496 0.000912525
0.84 0.62 -0.435702 0.000942259
0.84 0.63 -0.438143 0.000951993
0.84 0.64 -0.432675 0.000889882
0.84 0.65 -0.4295 0.00133648
0.84 0.66 -0.425764 0.0012771
0.84 0.67 -0.416226 0.00149759
0.84 0.68 -0.407869 0.0016644
0.84 0.69 -0.400191 0.00165966
